 File, Bleu_1, Bleu_2, Bleu_3, Bleu_4, METEOR, ROUGE_L, CIDEr
answer,0.635,0.488,0.383,0.307,0.239,0.525,0.915
answer2,0.641,0.493,0.388,0.31,0.241,0.527,0.912
baseline_i3d_rgb-i3d_flow,0.621,0.48,0.379,0.305,0.217,0.481,0.733
baseline_i3d_rgb-i3d_flow-vggish,0.626,0.485,0.383,0.309,0.215,0.487,0.746
entry01_CIDEr_attfusion,0.618,0.474,0.371,0.296,0.219,0.484,0.745
entry02_basic_l1,0.605,0.459,0.357,0.283,0.217,0.48,0.731
entry03_bleu_l76,0.614,0.47,0.368,0.293,0.221,0.486,0.761
entry04_rouge_l46,0.621,0.479,0.377,0.302,0.222,0.488,0.77
entry05_cider_l36,0.623,0.48,0.378,0.302,0.222,0.487,0.769
final_submission_text_only,0.711,0.57,0.461,0.376,0.264,0.554,1.076
offical_test_output,0.689,0.542,0.427,0.337,0.242,0.532,0.957
result.test.5000,0.319,0.167,0.094,0.056,0.096,0.236,0.085
system1_officialTestSetResponses_topics,0.612,0.475,0.379,0.307,0.213,0.469,0.701
system2officialTestSetResponses_Topics_Q_QA_Caption_Vggish,0.622,0.483,0.381,0.307,0.215,0.479,0.733
system3_officialTestSetResponsesTopicsLMF,0.579,0.444,0.347,0.278,0.198,0.442,0.614
system4officialTestSetResponses_Topics_Q_QA_Caption,0.628,0.49,0.387,0.31,0.217,0.483,0.718
t1_f1,0.695,0.553,0.444,0.36,0.249,0.544,0.997
t2_f1,0.648,0.505,0.399,0.323,0.231,0.51,0.843
t3_f1,0.686,0.541,0.429,0.343,0.243,0.536,0.92
t4_f1,0.662,0.52,0.416,0.34,0.228,0.518,0.851
t5_f1,0.685,0.542,0.433,0.349,0.242,0.536,0.947
t6_f1,0.65,0.506,0.397,0.316,0.224,0.505,0.795
t7_f1,0.656,0.507,0.398,0.319,0.228,0.513,0.836
t8_f1,0.635,0.5,0.398,0.323,0.22,0.501,0.799
task1_submission,0.631,0.491,0.39,0.315,0.239,0.509,0.848
task2_submission,0.633,0.49,0.386,0.31,0.242,0.515,0.856
text_and_video_extra_datasets,0.723,0.586,0.476,0.387,0.266,0.564,1.087
text_and_video_official_datasets,0.718,0.584,0.478,0.394,0.267,0.563,1.094
text_and_vision_extra_data,0.723,0.586,0.476,0.387,0.266,0.564,1.087
text_and_vision_their_data,0.718,0.584,0.478,0.394,0.267,0.563,1.094
text_only_extra_data,0.692,0.555,0.447,0.364,0.254,0.543,1.006
text_only_their_data,0.692,0.555,0.447,0.364,0.254,0.543,1.006
text_task,0.592,0.468,0.375,0.304,0.206,0.475,0.729
text_task_replaced,0.595,0.47,0.376,0.304,0.207,0.477,0.731
video_task,0.64,0.513,0.416,0.342,0.223,0.504,0.837
video_task_replaced,0.641,0.513,0.416,0.342,0.223,0.504,0.836
